DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
3383,8.578,0.052,0.232,6.775,3.622,0.001,0.037,0.764
3383.1,8.578,0.053,0.238,6.665,3.265,0.001,0.035,0.775
3383.2,8.578,0.054,0.243,6.591,3.062,0.001,0.033,0.782
3383.3,8.578,0.05,0.246,6.575,3.004,0.001,0.033,0.773
3383.4,8.578,0.044,0.25,6.646,2.826,0.001,0.034,0.784
3383.5,8.578,0.038,0.256,6.784,2.718,0.001,0.035,0.812
3383.6,8.578,0.035,0.264,6.93,2.686,0.001,0.034,0.841
3383.7,8.578,0.035,0.269,7.03,2.576,0.001,0.033,0.864
3383.8,8.578,0.038,0.271,7.045,2.592,0.001,0.032,0.864
3383.9,8.578,0.047,0.271,6.983,2.468,0.001,0.03,0.878
3384,8.578,0.057,0.272,6.884,2.466,0.001,0.029,0.885
3384.1,8.609,0.066,0.271,6.815,2.374,0.001,0.029,0.857
3384.2,8.625,0.067,0.275,6.83,2.268,0.001,0.033,0.81
3384.3,8.578,0.061,0.282,6.937,2.317,0.001,0.039,0.822
3384.4,8.578,0.05,0.285,7.074,2.31,0.001,0.042,0.81
3384.5,8.578,0.044,0.285,7.146,2.338,0.001,0.039,0.824
3384.6,8.578,0.046,0.282,7.1,2.324,0.001,0.03,0.843
3384.7,8.578,0.055,0.278,6.957,2.275,0.001,0.023,0.869
3384.8,8.578,0.064,0.277,6.787,2.24,0.001,0.023,0.894
3384.9,8.578,0.064,0.279,6.66,2.237,0.001,0.03,0.863
3385,8.609,0.058,0.277,6.578,2.371,0.001,0.04,0.833
3385.1,8.578,0.052,0.279,6.528,2.471,0.001,0.046,0.801
3385.2,8.602,0.049,0.275,6.495,2.491,0.001,0.048,0.754
3385.3,8.625,0.048,0.272,6.495,2.531,0.001,0.049,0.752
3385.4,8.578,0.045,0.272,6.543,2.499,0.001,0.051,0.736
3385.5,8.578,0.042,0.268,6.633,2.451,0.001,0.051,0.725
3385.6,8.578,0.039,0.264,6.737,2.489,0.001,0.05,0.716
3385.7,8.609,0.036,0.257,6.826,2.467,0.001,0.047,0.696
3385.8,8.578,0.032,0.255,6.864,2.522,0.001,0.044,0.702
3385.9,8.601,0.033,0.249,6.834,2.48,0.001,0.038,0.694
3386,8.578,0.041,0.251,6.746,2.515,0.001,0.028,0.715
3386.1,8.625,0.056,0.25,6.64,2.621,0.001,0.02,0.703
3386.2,8.625,0.066,0.253,6.58,2.601,0.001,0.02,0.698
3386.3,8.625,0.065,0.254,6.61,2.654,0.001,0.02,0.707
3386.4,8.625,0.057,0.254,6.718,2.653,0.001,0.031,0.707
3386.5,8.625,0.05,0.257,6.845,2.697,0.001,0.038,0.701
3386.6,8.601,0.047,0.246,6.937,2.734,0.001,0.038,0.677
3386.7,8.578,0.049,0.258,6.956,2.756,0.001,0.033,0.672
3386.8,8.578,0.053,0.257,6.912,2.617,0.001,0.027,0.688
3386.9,8.578,0.055,0.254,6.864,2.475,0.001,0.022,0.668
3387,8.578,0.053,0.255,6.868,2.476,0.001,0.022,0.672
3387.1,8.578,0.046,0.259,6.919,2.612,0.001,0.024,0.697
3387.2,8.609,0.043,0.266,6.971,2.716,0.001,0.024,0.692
3387.3,8.609,0.049,0.268,6.992,2.664,0.001,0.02,0.711
3387.4,8.625,0.06,0.269,7.006,2.521,0.001,0.02,0.724
3387.5,8.625,0.067,0.269,7.056,2.618,0.001,0.02,0.71
3387.6,8.625,0.065,0.271,7.137,2.022,0.001,0.02,0.688
3387.7,8.625,0.059,0.273,7.198,1.288,0.001,0.022,0.693
3387.8,8.625,0.057,0.272,7.172,1.304,0.001,0.026,0.694
3387.9,8.625,0.06,0.27,7.061,1.713,0.001,0.027,0.703
3388,8.594,0.063,0.271,6.93,1.771,0.001,0.03,0.712
3388.1,8.609,0.064,0.275,6.839,1.733,0.001,0.035,0.732
3388.2,8.609,0.065,0.281,6.779,1.654,0.001,0.04,0.73
3388.3,8.625,0.064,0.291,6.731,1.526,0.001,0.043,0.723
3388.4,8.625,0.062,0.298,6.69,1.694,0.001,0.044,0.733
3388.5,8.625,0.06,0.299,6.66,2.284,0.001,0.044,0.733
3388.6,8.578,0.063,0.299,6.633,2.439,0.001,0.04,0.766
3388.7,8.578,0.07,0.294,6.6,2.61,0.001,0.034,0.779
3388.8,8.578,0.077,0.289,6.553,2.517,0.001,0.033,0.79
