DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
4490.9,8.648,0.062,0.194,5.439,0.308,150.496,0.2,0.158
4491,8.656,0.063,0.195,5.43,0.309,148.403,0.201,0.159
4491.1,8.648,0.064,0.198,5.4,0.311,147.698,0.203,0.162
4491.2,8.672,0.063,0.194,5.353,0.297,155.128,0.206,0.162
4491.3,8.672,0.061,0.195,5.288,0.276,162.16,0.21,0.163
4491.4,8.672,0.058,0.196,5.226,0.27,182.757,0.213,0.16
4491.5,8.672,0.056,0.196,5.196,0.269,212.872,0.215,0.154
4491.6,8.672,0.055,0.195,5.209,0.268,258.507,0.215,0.145
4491.7,8.672,0.055,0.194,5.241,0.27,263.816,0.214,0.143
4491.8,8.672,0.056,0.196,5.256,0.276,259.191,0.212,0.143
4491.9,8.672,0.057,0.198,5.244,0.283,264.496,0.212,0.141
4492,8.672,0.056,0.2,5.222,0.285,253.199,0.212,0.144
4492.1,8.656,0.053,0.203,5.206,0.28,232.146,0.214,0.149
4492.2,8.672,0.051,0.198,5.2,0.277,198.679,0.214,0.158
4492.3,8.672,0.05,0.196,5.2,0.279,210.51,0.214,0.154
4492.4,8.672,0.051,0.192,5.212,0.282,235.68,0.212,0.147
4492.5,8.672,0.052,0.19,5.245,0.285,204.235,0.21,0.152
4492.6,8.625,0.053,0.19,5.299,0.29,171.947,0.207,0.158
4492.7,8.641,0.053,0.189,5.361,0.299,165.19,0.205,0.158
4492.8,8.672,0.052,0.184,5.422,0.314,130.92,0.203,0.167
4492.9,8.672,0.051,0.181,5.477,0.335,90.301,0.2,0.183
4493,8.672,0.051,0.178,5.519,0.356,65.988,0.196,0.194
4493.1,8.672,0.052,0.178,5.55,0.366,44.93,0.19,0.207
4493.2,8.672,0.055,0.179,5.564,0.373,36.344,0.183,0.212
4493.3,8.672,0.058,0.18,5.568,0.379,30.105,0.178,0.216
4493.4,8.672,0.061,0.18,5.569,0.388,26.373,0.175,0.22
4493.5,8.672,0.063,0.178,5.564,0.399,21.53,0.173,0.228
